OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SHAPE,SIGNAL_MAINT_DIST,SIGNAL_TYPE
1366206,18213,1270709.148719999939203,194387.955320000008214,340313,13,78852,GRDWM,4TH AVE S AND S HENDERSON N ST,0,"(47.523050838000074, -122.32973196799998)", ,NONE
1366207,10302,1282581.593409999972209,234414.695080000004964,157936,13,32854,E,WOODROW PL E AND E GARFIELD ST,0,"(47.633386992000055, -122.28474471599998)", ,NONE
1366208,4716,1261647.537190000060946,256226.49721000000136,37264,13,231740,BLRD,12TH AVE NW AND NW 87TH ST,0,"(47.69205782500006, -122.37140113199996)", ,NONE
1366465,11483,1281380.582970000104979,228692.21186999999918,30231,13,42513,CNTRL,34TH AVE AND E HOWELL ST,3,"(47.61763947900005, -122.28917591699997)", ,NONE
1366466,6406,1274017.164339999901131,249395.188400000013644,25752,13,14252,NE,NE 63RD ST AND NE RAVENNA EB BV,1,"(47.67400005200005, -122.32064845699995)", ,NONE
1366467,16530,1287242.236989999888465,202871.12333000000217,33729,13,67744,SE,WILSON AVE S AND S UPLAND RD,2,"(47.54716494300004, -122.26346772899996)", ,NONE
1366468,5330,1264241.256490000057966,253504.867259999999078,24066,13,3124,NW,3RD AVE NW AND NW 77TH ST,3,"(47.684739612000044, -122.36065228299998)", ,NONE
1366469,4483,1277934.404150000074878,257254.45472000000882,37743,13,234718,NE,RAVENNA AVE NE AND NE 92ND ST,1,"(47.69574858400006, -122.30536137899998)", ,NONE
1366470,12577,1281932.699199999915436,222116.097180000011576,35518,13,146652,CNTRL,LAKESIDE UPPER AVE S AND S LESCHI PL,0,"(47.59964295300006, -122.28643425799999)", ,NONE
1366471,17255,1282909.084220000077039,199261.560449999989942,34465,13,73318,SE,42ND AVE S AND S OTHELLO ST,2,"(47.53704900500003, -122.28073528599998)", ,NONE
1366472,11382,1279677.895999999949709,229184.136609999986831,29288,13,37357,CNTRL,M L KING JR WAY AND E DENNY WAY,3,"(47.61889933200007, -122.29611633299999)", ,NONE
1366473,7287,1269555.014699999941513,246211.30360000001383,25529,13,13331,LKUN,WOODLAWN AVE N AND N 50TH E ST,1,"(47.66503530500006, -122.338504194)", ,NONE
1366474,13142,1256550.32605000003241,218397.216920000006212,31112,13,48512,SW,45TH AVE SW AND SW MASSACHUSETTS ST,0,"(47.58808942500008, -122.38898894099998)", ,NONE
1366475,2569,1269427.810349999926984,270094.671819999988656,35732,13,219145,NW,INTERLAKE AVE N AND N 140TH E ST,0,"(47.73049173900006, -122.34091900199996)", ,NONE
1366476,18655,1281751.567169999936596,191962.907000000006519,35386,13,80737,GRDWM,38TH AVE S AND S ROXBURY ST,0,"(47.51698359000005, -122.28486320699994)", ,NONE
1366477,18291,1258084.541479999898002,193925.285750000010012,34745,13,75336,SW,38TH AVE SW AND SW BARTON W ST,2,"(47.52109826100008, -122.38077912399996)", ,NONE
1366478,8569,1267941.857839999953285,242000.124589999992168,26867,13,22312,LKUN,BRIDGE WAY N AND WOODLAND PK S AVE N,2,"(47.65340596500005, -122.34471401499997)", ,NONE
1366479,13386,1278731.593790000071749,217010.192790000000969,31436,13,52144,SE,26TH AVE S AND S PLUM ST,0,"(47.58548126900007, -122.29901256099998)", ,NONE
1366480,12449,1277678.226229999912903,222936.183699999994133,30732,13,45516,CNTRL,22ND AVE AND E YESLER WAY,2,"(47.60166927600005, -122.30373893499996)", ,NONE
1366481,3522,1279904.747579999966547,262411.024830000009388,36663,13,227318,N,28TH AVE NE AND NE 113TH ST,0,"(47.70998569900007, -122.29776025499996)", ,NONE
1366482,5737,1259180.277800000039861,251861.526450000004843,23923,13,2329,BLRD,19TH AVE NW AND NW CANOE PL,0,"(47.67995813700003, -122.38106081099994)", ,NONE
1366483,6604,1288086.518850000109524,248700.779190000001108,26287,13,17522,NE,60TH AVE NE AND NE 61ST ST,0,"(47.67282776300004, -122.26349815799995)", ,NONE
1366484,4041,1259122.116649999981746,259343.125949999986915,36919,13,230151,BLRD,NW 98TH ST AND DEAD END 1,0,"(47.70046145100008, -122.38190798099998)", ,NONE
1366485,15916,1270635.939890000037849,205734.605959999986226,33154,13,64516,GRDWM,3RD AVE S AND S BRANDON ST,0,"(47.55414779900008, -122.33092181799998)", ,NONE
1366486,6343,1276962.733879999956116,249620.31429000000935,25975,13,15508,NE,18TH AVE NE AND NE 63RD ST,0,"(47.67477254800008, -122.30871204899995)", ,NONE
1366487,9227,1266681.78973999992013,238739.318440000002738,28059,13,29517,MGNL-QA,4TH AVE N AND NEWELL ST,0,"(47.64440028900003, -122.349564983)", ,NONE
1366488,10785,1276644.805179999908432,232145.846179999993183,29323,13,37528,E,18TH AVE E AND E ALOHA ST,3,"(47.62685862500007, -122.30864261399995)", ,NONE
1366489,16894,1278424.592440000036731,201194.418819999991683,167607,13,72277,GRDWM,BEACON ER AVE S AND S BRIGHTON ST,2,"(47.542114294000044, -122.299035818)", ,NONE
1366490,19155,1284373.279300000052899,189435.079029999993509,38155,13,305305,SE,47TH AVE S AND S VICTOR ST,0,"(47.51018984900003, -122.27406403599997)", ,NONE
1366491,16554,1277638.94815000006929,202782.482560000004014,33402,13,65767,GRDWM,24TH AVE S AND S GRAHAM ST,2,"(47.546426101000066, -122.30233883999995)", ,NONE
1366492,8015,1273334.001200000056997,243912.146609999996144,27084,13,23124,LKUN,5TH AVE NE AND NE 43RD ST,0,"(47.658934964000025, -122.32299013)", ,NONE
1366493,10606,1264507.047209999989718,233061.134499999985565,28589,13,34147,MGNL-QA,1ST AVE W AND W PROSPECT ST,0,"(47.628718872000036, -122.35792923499997)", ,NONE
1366494,6545,1284145.76698000007309,248893.250230000005104,26103,13,16115,NE,45TH AVE NE AND OBERLIN AVE NE,0,"(47.67315344300005, -122.27950523999999)", ,NONE
1366495,14143,1278260.694840000011027,213225.946510000008857,31501,13,52349,GRDWM,25TH AVE S AND S HANFORD W ST,0,"(47.57508407600005, -122.30062799999996)", ,NONE
1366496,3881,1269634.584109999937937,260144.607929999998305,37285,13,232111,NW,ASHWORTH AVE N AND N 103RD ST,0,"(47.70323017900006, -122.33928780399998)", ,NONE
